Make,Cylinders,EngineSize,Horsepower,RPM,Rev.per.mile
Acura:: Integra,4,1.8,'140',6300,2890
Acura Legend,6,3.2,200,5500,2335
Audi:: 90,6,2.8,172,5500,2280
Audi 100,6,2.8,'172',5500,2535
BMW 535i,4,3.5,208,5700,2545
Buick Century,4,2.2,110,5200,2565
Buick LeSabre,6,3.8,170,4800,1570
Buick:: Roadmaster,6,5.7,'180',4000,1320
Buick Riviera,6,3.8,170,4800,1690
Cadillac DeVille,8,4.9,200,4100,1510
Cadillac:: Seville,8,4.6,295,6000,1985
Chevrolet Cavalier,4,2.2,'110',5200,2380
Chevrolet Corsica,4,2.2,110,5200,2665
Chevrolet Camaro,6,3.4,160,4600,1805
Chevrolet:: Lumina,4,2.2,110,5200,2595
Chevrolet Lumina_APV,6,3.8,170,4800,1690
Chevrolet Astro,6,4.3,'165',4000,1790
Chevrolet:: Caprice,8,5,170,4200,1350
Chevrolet Corvette,8,5.7,300,5000,1450
Chrylser Concorde,6,3.3,'153',5300,1990
Chrysler LeBaron,4,3,141,5000,2090
Chrysler Imperial,6,3.3,147,4800,1785
Dodge:: Colt,4,1.5,92,6000,3285
Dodge Shadow,4,2.2,93,4800,2595
Dodge Spirit,4,2.5,100,4800,2535
Dodge:: Caravan,6,3,'142',5000,1970
Dodge Dynasty,4,2.5,100,4800,2465
Dodge Stealth,6,3,300,6000,2120
Eagle Summit,4,1.5,92,6000,2505
Eagle Vision,6,3.5,'214',5800,1980
Ford Festiva,4,1.3,63,5000,3150
Ford Escort,4,1.8,127,6500,2410
Ford Tempo,4,2.3,96,4200,2805
Ford Mustang,4,2.3,'105',4600,2285
Ford Probe,4,2,115,5500,2340
Ford Aerostar,6,3,145,4800,2080
Ford Taurus,6,3,'140',4800,1885
Ford Crown_Victoria,8,4.6,190,4200,1415
Geo Metro,3,1,55,5700,3755
Geo Storm,4,1.6,90,5400,3250
Honda Prelude,4,2.3,160,5800,2855
Honda Civic,4,1.5,102,5900,2650
Honda Accord,4,2.2,'140',5600,2610
Hyundai Excel,4,1.5,81,5500,2710
Hyundai Elantra,4,1.8,124,6000,2745
Hyundai Scoupe,4,1.5,92,5550,2540
Hyundai Sonata,4,2,128,6000,2335
Infiniti Q45,8,4.5,278,6000,1955
Lexus ES300,6,3,'185',5200,2325
Lexus SC300,6,3,225,6000,2510
Lincoln Continental,6,3.8,160,4400,1835
Lincoln Town_Car,8,4.6,210,4600,1840
Mazda 323,4,1.6,82,5000,2370
Mazda Protege,4,1.8,103,5500,2220
Mazda 626,4,2.5,164,5600,2505
Mazda MPV,6,3,155,5000,2240
Mazda RX-7,rotary,1.3,'255',6500,2325
Mercedes-Benz 190E,4,2.3,130,5100,2425
Mercedes-Benz 300E,6,3.2,217,5500,2220
Mercury:: Capri,4,1.6,100,5750,2475
Mercury Cougar,6,3.8,140,3800,1730
Mitsubishi:: Mirage,4,1.5,92,6000,2505
Mitsubishi Diamante,6,3,'202',6000,2210
Nissan Sentra,4,1.6,110,6000,2435
Nissan Altima,4,2.4,'150',5600,2130
Nissan Quest,6,3,151,4800,2065
Nissan Maxima,6,3,160,5200,2045
Oldsmobile:: Achieva,4,2.3,155,6000,2380
Oldsmobile Cutlass_Ciera,4,2.2,110,5200,2565
Oldsmobile Silhouette,6,3.8,170,4800,1690
Oldsmobile Eighty-Eight,6,3.8,170,4800,1570
Plymouth:: Laser,4,1.8,92,5000,2360
Pontiac LeMans,4,1.6,74,5600,3130
Pontiac:: Sunbird,4,2,'110',5200,2665
Pontiac Firebird,6,3.4,160,4600,1805
Pontiac Grand_Prix,6,3.4,200,5000,1890
Pontiac Bonneville,6,3.8,170,4800,1565
Saab 900,4,2.1,140,6000,2910
Saturn SL,4,1.9,85,5000,2145
Subaru Justy,3,1.2,73,5600,2875
Subaru:: Loyale,4,1.8,90,5200,3375
Subaru Legacy,4,2.2,130,5600,2330
Suzuki Swift,3,1.3,70,6000,3360
Toyota Tercel,4,1.5,'82',5200,3505
Toyota:: Celica,4,2.2,135,5400,2405
Toyota Camry,4,2.2,130,5400,2340
Toyota Previa,4,2.4,138,5000,2515
Volkswagen Fox,4,1.8,81,5500,2550
Volkswagen Eurovan,5,2.5,109,4500,2915
Volkswagen Passat,4,2,134,5800,2685
Volkswagen Corrado,6,2.8,178,5800,2385
Volvo 240,4,2.3,114,5400,2215
Volvo 850,5,2.4,168,6200,2310
